N;Tiempo
100;0.07495
200;0.13192
300;0.20487
400;0.28582
500;0.32380
600;0.38276
700;0.46371
800;0.60562
900;0.70356
1000;0.66159
1100;0.71856
1200;0.79950
1300;0.94641
1400;1.03342
1500;1.09632
1600;1.30819
1700;1.26622
1800;1.43911
1900;1.62412
2000;1.58606
