N;Tiempo
100;0.09594
200;0.18589
300;0.30581
400;0.36677
500;0.45872
600;0.54266
700;0.72855
800;0.75653
900;0.87446
1000;0.94142
1100;1.09032
1200;1.32818
1300;1.28420
1400;1.54104
1500;1.59563
1600;1.83176
1700;1.88074
1800;2.27705
1900;2.23761
2000;2.28094
