39,103,119
40,107,122
42,107,121
41,107,121
41,108,124
43,111,122
44,114,129
45,116,128
46,114,125
43,111,115
43,113,129
47,118,131
50,122,134
50,122,134
48,118,131
47,114,130
47,110,125
46,109,121
46,106,125
47,106,124
48,110,131
51,110,136
51,114,134
50,105,129
51,106,128
52,116,131
55,120,137
55,107,129
55,111,127
56,111,121
55,114,125
55,112,127
53,108,121
52,111,127
53,118,138
55,122,134
52,115,133
49,102,128
46,106,123
43,105,122
44,104,125
44,104,124
44,106,127
45,109,127
43,101,121
41,100,121
41,100,123
42,105,116
42,103,120
41,103,114
40,104,114
40,105,118
41,107,124
42,101,122
40,109,122
41,108,123
37,111,123
43,113,126
44,117,129
46,116,126
44,113,124
43,111,127
46,116,130
49,121,134
50,124,136
50,120,132
48,114,124
47,110,125
46,111,125
46,108,126
47,100,127
48,101,131
50,115,136
52,109,135
51,106,131
51,109,131
51,114,128
54,120,139
56,115,131
56,111,129
56,110,128
54,113,125
56,114,129
53,109,123
53,111,124
53,116,134
55,123,140
54,118,129
50,111,124
47,109,126
45,106,125
44,104,125
44,104,125
45,100,129
46,103,130
45,103,121
41,100,120
40,98,118
40,102,12141,104,12041,103,120
41,103,114
40,104,120
40,104,122
41,107,121
40,106,122
41,108,121
36,110,124
43,112,124
44,117,130
39,117,131
45,113,127
43,109,124
45,115,129
48,112,132
50,122,135
49,121,133
48,109,129
46,106,126
46,109,126
46,102,126
46,101,128
48,107,127
49,113,134
51,116,134
51,114,133
45,111,132
52,112,132
54,118,138
55,116,134
56,112,121
56,113,127
55,112,132
55,115,124
54,109,126
53,103,128
52,114,135
54,116,139
55,120,129
51,112,129
48,109,126
45,105,118
43,104,123
44,99,125
44,104,12639,107,13045,107,12241,99,12040,99,11140,100,12240,97,11941,102,120
40,102,120
40,104,121
40,105,120
41,107,121
42,106,116
40,108,114
42,109,124
43,111,124
44,116,122
45,117,123
45,114,127
43,109,123
44,115,129
47,119,127
49,122,135
50,123,134
48,116,123
47,113,127
45,109,126
46,109,120
46,106,126
47,107,126
48,111,133
51,118,135
51,113,132
50,111,130
51,112,127
54,118,136
49,118,135
55,112,128
56,111,128
55,112,130
55,114,131
54,111,127
54,109,128
52,107,133
53,120,139
54,114,136
51,113,124
48,109,122
46,105,124
43,105,122
43,105,124
44,105,126
45,102,129
45,107,124
42,99,119
40,93,120
40,98,120
40,103,12041,102,12034,102,11840,103,12039,103,11940,100,123
42,107,122
40,108,121
41,107,125
43,111,122
37,113,127
44,115,128
46,115,126
44,112,122
43,112,128
46,117,130
49,121,135
44,122,134
48,118,131
47,113,130
47,111,122
46,110,128
46,108,121
46,107,125
48,110,132
50,109,137
52,108,134
51,108,130
51,107,128
52,119,137
55,119,136
51,113,130
56,111,128
56,111,128
55,113,132
55,111,127
54,108,126
52,110,130
47,119,139
55,122,139
52,116,132
49,111,130
47,107,124
44,105,124
43,105,126
44,103,126
44,107,127
45,109,129
43,100,121
41,99,119
40,98,117
41,102,12141,103,119
40,102,119
40,97,120
40,97,119
40,106,124
42,106,119
40,107,122
41,108,121
42,111,125
38,113,125
38,116,128
46,115,126
44,111,124
43,111,126
45,115,123
48,119,132
50,123,134
49,120,131
47,114,128
46,110,125
45,110,127
46,107,125
46,106,126
47,107,123
50,114,130
52,116,136
51,113,131
50,107,131
52,112,135
55,113,137
55,109,132
55,105,128
56,105,127
55,113,132
54,113,129
54,108,125
52,110,128
52,115,136
54,117,139
53,119,134
49,111,129
47,109,126
44,105,124
43,105,125
44,104,125
38,105,128
43,108,128
44,103,114
41,98,119
40,99,116
